Cycle 0: imm_x=0x0000007F28A8 imm_y=0xFFFFFF13A6FA imm_z=0x000000C742AA p_ca=0x000000800000 p_si=0x0000004CCCCD p_bi=0x000000333333
Cycle 1: imm_x=0x0000079F6E2C imm_y=0xFFFFF199619F imm_z=0xFFFFFF62CA9B p_ca=0x000000028F5C p_si=0x000000028F5C p_bi=0x000000FAE148
Cycle 2: imm_x=0x00001014985F imm_y=0xFFFFE3CCF51A imm_z=0xFFFFFF40407E p_ca=0x000000F7CCA8 p_si=0x000000043052 p_bi=0x000000040306
Cycle 3: imm_x=0x000016795EE8 imm_y=0xFFFFDABD2475 imm_z=0xFFFFFF582A96 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 4: imm_x=0x00001D896349 imm_y=0xFFFFCA4C8764 imm_z=0xFFFFFF4E7E62 p_ca=0x000000FAC00F p_si=0x00000002B095 p_bi=0x000000028F5C
Cycle 5: imm_x=0x000026517014 imm_y=0xFFFFBE129A9D imm_z=0xFFFFFF22E5FC p_ca=0x00000002B61D p_si=0x000000FABA87 p_bi=0x000000028F5C
Cycle 6: imm_x=0x000030115758 imm_y=0xFFFFAFCDFA23 imm_z=0xFFFFFF4DD8E4 p_ca=0x000000FACD36 p_si=0x00000002A36E p_bi=0x000000028F5C
Cycle 7: imm_x=0x000035B9562C imm_y=0xFFFFA37F5D74 imm_z=0xFFFFFF702469 p_ca=0x00000002BA93 p_si=0x000000FAB611 p_bi=0x000000028F5C
Cycle 8: imm_x=0x00003A88900E imm_y=0xFFFF96881772 imm_z=0xFFFFFF34A7E1 p_ca=0x000000FACEA7 p_si=0x00000002A1FD p_bi=0x000000028F5C
Cycle 9: imm_x=0x000040EFC452 imm_y=0xFFFF8C515794 imm_z=0xFFFFFF63B181 p_ca=0x00000002BB0E p_si=0x000000FAB596 p_bi=0x000000028F5C
Cycle 10: imm_x=0x000046E301C5 imm_y=0xFFFF7F3E6700 imm_z=0xFFFFFEAAA897 p_ca=0x000000FACECE p_si=0x00000002A1D6 p_bi=0x000000028F5C
Cycle 11: imm_x=0x00004CFA5235 imm_y=0xFFFF743F2B80 imm_z=0xFFFFFE5931ED p_ca=0x00000002BB1B p_si=0x000000FAB589 p_bi=0x000000028F5C
Cycle 12: imm_x=0x000053F9469A imm_y=0xFFFF6A349C63 imm_z=0xFFFFFDE5D70B p_ca=0x000000F73AFA p_si=0x0000000635AA p_bi=0x000000028F5C
Cycle 13: imm_x=0x000058F08B14 imm_y=0xFFFF5D345E26 imm_z=0xFFFFFD2697FC p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 14: imm_x=0x00005E2DAD0C imm_y=0xFFFF50DC3762 imm_z=0xFFFFFD16983D p_ca=0x000000FAC00F p_si=0x00000002B095 p_bi=0x000000028F5C
Cycle 15: imm_x=0x00006454D04F imm_y=0xFFFF43B391B5 imm_z=0xFFFFFCFCB6B7 p_ca=0x00000002B61D p_si=0x000000FABA87 p_bi=0x000000028F5C
Cycle 16: imm_x=0x00006899642A imm_y=0xFFFF36FFD7FA imm_z=0xFFFFFD5D58B2 p_ca=0x000000FACD36 p_si=0x00000002A36E p_bi=0x000000028F5C
Cycle 17: imm_x=0x00006E71E07C imm_y=0xFFFF2CE2D6F6 imm_z=0xFFFFFD57202D p_ca=0x00000002BA93 p_si=0x000000FAB611 p_bi=0x000000028F5C
Cycle 18: imm_x=0x000071D68FC3 imm_y=0xFFFF1E94215F imm_z=0xFFFFFCC8B4AF p_ca=0x000000FACEA7 p_si=0x00000002A1FD p_bi=0x000000028F5C
Cycle 19: imm_x=0x000076629146 imm_y=0xFFFF1451D3E5 imm_z=0xFFFFFD34CF44 p_ca=0x00000002BB0E p_si=0x000000FAB596 p_bi=0x000000028F5C
Cycle 20: imm_x=0x00007CE66C75 imm_y=0xFFFF0625D17F imm_z=0xFFFFFD80CF08 p_ca=0x000000028F5C p_si=0x000000028F5C p_bi=0x000000FAE148
Cycle 21: imm_x=0x000080DABC9F imm_y=0xFFFEFA9F1F10 imm_z=0xFFFFFD222D82 p_ca=0x000000028F5C p_si=0x000000028F5C p_bi=0x000000FAE148
Cycle 22: imm_x=0x00008544097D imm_y=0xFFFEED996330 imm_z=0xFFFFFC6CF9C7 p_ca=0x000000028F5C p_si=0x000000028F5C p_bi=0x000000FAE148
Cycle 23: imm_x=0x000086AC5577 imm_y=0xFFFEE2BFCBF7 imm_z=0xFFFFFBC09993 p_ca=0x000000F96049 p_si=0x000000028F5C p_bi=0x00000004105B
Cycle 24: imm_x=0x00008E36FE35 imm_y=0xFFFED668FAB8 imm_z=0xFFFFFB902152 p_ca=0x00000003265A p_si=0x000000028F5C p_bi=0x000000FA4A4A
Cycle 25: imm_x=0x000092B56754 imm_y=0xFFFEC6E6B1C3 imm_z=0xFFFFFC2942FB p_ca=0x000000F9C6E9 p_si=0x000000028F5C p_bi=0x00000003A9BB
Cycle 26: imm_x=0x0000952D7DF7 imm_y=0xFFFEBCCF547A imm_z=0xFFFFFCA14583 p_ca=0x00000002BE63 p_si=0x000000FAB241 p_bi=0x000000028F5C
Cycle 27: imm_x=0x000099A80C37 imm_y=0xFFFEB12B91BF imm_z=0xFFFFFCBA5476 p_ca=0x00000071C52D p_si=0x0000008BAB77 p_bi=0x000000028F5C
Cycle 28: imm_x=0x00009DFA2F4B imm_y=0xFFFEA40D041D imm_z=0xFFFFFC2650FB p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 29: imm_x=0x0000A239BA34 imm_y=0xFFFE8F6BC76C imm_z=0xFFFFFB7998F7 p_ca=0x000000FAC00F p_si=0x00000002B095 p_bi=0x000000028F5C
Cycle 30: imm_x=0x0000A560EA08 imm_y=0xFFFE784C28D4 imm_z=0xFFFFFB42CDED p_ca=0x00000002B61D p_si=0x000000FABA87 p_bi=0x000000028F5C
Cycle 31: imm_x=0x0000A95F8957 imm_y=0xFFFE5E3157B3 imm_z=0xFFFFFA7744D1 p_ca=0x000000FACD36 p_si=0x00000002A36E p_bi=0x000000028F5C
Cycle 32: imm_x=0x0000AC211187 imm_y=0xFFFE499CD9A0 imm_z=0xFFFFFA64B463 p_ca=0x00000002BA93 p_si=0x000000FAB611 p_bi=0x000000028F5C
Cycle 33: imm_x=0x0000ADB1E393 imm_y=0xFFFE33114A26 imm_z=0xFFFFFA1C6CB3 p_ca=0x000000FACEA7 p_si=0x00000002A1FD p_bi=0x000000028F5C
Cycle 34: imm_x=0x0000B209B06C imm_y=0xFFFE1D295DCB imm_z=0xFFFFF9B7263C p_ca=0x00000002BB0E p_si=0x000000FAB596 p_bi=0x000000028F5C
Cycle 35: imm_x=0x0000B38800BE imm_y=0xFFFE067085AD imm_z=0xFFFFF9042395 p_ca=0x000000FACECE p_si=0x00000002A1D6 p_bi=0x000000028F5C
Cycle 36: imm_x=0x0000B7642386 imm_y=0xFFFDF05A7CB6 imm_z=0xFFFFF9045615 p_ca=0x00000002BB1B p_si=0x000000FAB589 p_bi=0x000000028F5C
Cycle 37: imm_x=0x0000B84FF738 imm_y=0xFFFDDAA5F9D9 imm_z=0xFFFFF8A03752 p_ca=0x000000FACED3 p_si=0x00000002A1D1 p_bi=0x000000028F5C
Cycle 38: imm_x=0x0000B9B011FC imm_y=0xFFFDCFAA461C imm_z=0xFFFFF81B4638 p_ca=0x00000002BB1C p_si=0x000000FAB588 p_bi=0x000000028F5C
Cycle 39: imm_x=0x0000BA9B391F imm_y=0xFFFDC7127EC4 imm_z=0xFFFFF738D675 p_ca=0x0000002EF1B3 p_si=0x000000CE7EF1 p_bi=0x000000028F5C
Cycle 40: imm_x=0x0000BAADFE01 imm_y=0xFFFDC3B565EB imm_z=0xFFFFF75B184A p_ca=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 41: imm_x=0x0000B9845FEF imm_y=0xFFFDBDC9C038 imm_z=0xFFFFF893E8D7 p_ca=0x000000040E39 p_si=0x000000028F5C p_bi=0x000000F9626B
Cycle 42: imm_x=0x0000B8673923 imm_y=0xFFFDB8409545 imm_z=0xFFFFF8BDFE97 p_ca=0x000000FA47CF p_si=0x000000028F5C p_bi=0x0000000328D5
Cycle 43: imm_x=0x0000B6A882FE imm_y=0xFFFDB013C62B imm_z=0xFFFFF812A1A0 p_ca=0x00000002BFD6 p_si=0x000000FAB0CE p_bi=0x000000028F5C
Cycle 44: imm_x=0x0000B4A292BD imm_y=0xFFFDA98DC217 imm_z=0xFFFFF79FB865 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 45: imm_x=0x0000B4E29A06 imm_y=0xFFFDA63078EC imm_z=0xFFFFF79D6592 p_ca=0x000000E9D4A1 p_si=0x000000028F5C p_bi=0x000000139C03
Cycle 46: imm_x=0x0000B448EE75 imm_y=0xFFFD9E579CE4 imm_z=0xFFFFF71D2ABC p_ca=0x000000029215 p_si=0x000000FADE8F p_bi=0x000000028F5C
Cycle 47: imm_x=0x0000B4ABCFA5 imm_y=0xFFFD987A6559 imm_z=0xFFFFF721FCA4 p_ca=0x00000008F701 p_si=0x000000F479A3 p_bi=0x000000028F5C
Cycle 48: imm_x=0x0000B3EC4727 imm_y=0xFFFD91ED4A5B imm_z=0xFFFFF73D6072 p_ca=0x000000028F5C p_si=0x000000F97E1C p_bi=0x00000003F288
Cycle 49: imm_x=0x0000B1D894C0 imm_y=0xFFFD8B974BC2 imm_z=0xFFFFF768847D p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 50: imm_x=0x0000B2217286 imm_y=0xFFFD85F44240 imm_z=0xFFFFF71EBB23 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 51: imm_x=0x0000B169B4C2 imm_y=0xFFFD7EEF1FAD imm_z=0xFFFFF6D9A55C p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 52: imm_x=0x0000B035EBA1 imm_y=0xFFFD77F0A89A imm_z=0xFFFFF66D83AB p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 53: imm_x=0x0000AFAD5519 imm_y=0xFFFD6D25EEB6 imm_z=0xFFFFF5D01BFC p_ca=0x000000028F5C p_si=0x00000039DDF6 p_bi=0x000000C392AE
Cycle 54: imm_x=0x0000AE6ABCCA imm_y=0xFFFD63348421 imm_z=0xFFFFF5D2CFF7 p_ca=0x000000028F5C p_si=0x00000068A06A p_bi=0x00000094D03A
Cycle 55: imm_x=0x0000AB0DF46A imm_y=0xFFFD584CA163 imm_z=0xFFFFF5FF6334 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 56: imm_x=0x0000A754DE3E imm_y=0xFFFD4DEB0EBC imm_z=0xFFFFF625EBC1 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 57: imm_x=0x0000A4C1A4B6 imm_y=0xFFFD42B20AD0 imm_z=0xFFFFF5B73FE2 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 58: imm_x=0x0000A29E01BE imm_y=0xFFFD38DAFED0 imm_z=0xFFFFF6044380 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 59: imm_x=0x0000A0A23C57 imm_y=0xFFFD2CDBD4DE imm_z=0xFFFFF5B029BD p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
