Cycle 0: imm_x=0x0000007F28A8 imm_y=0xFFFFFF13A6FA imm_z=0x000000C742AA p_ca=0x000000800000 p_si=0x0000004CCCCD p_bi=0x000000333333
Cycle 1: imm_x=0x000006BF519C imm_y=0xFFFFFC920E69 imm_z=0xFFFFFF3E071C p_ca=0x000000028F5C p_si=0x000000028F5C p_bi=0x000000FAE148
Cycle 2: imm_x=0x00000E1CD13E imm_y=0xFFFFFB17B1E1 imm_z=0xFFFFFF028320 p_ca=0x000000D848C7 p_si=0x0000002436D1 p_bi=0x000000038068
Cycle 3: imm_x=0x000013551384 imm_y=0xFFFFFAAED773 imm_z=0xFFFFFF01A620 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 4: imm_x=0x000019310003 imm_y=0xFFFFF80FD15F imm_z=0xFFFFFED0B2CF p_ca=0x000000028F5C p_si=0x000000028F5C p_bi=0x000000FAE148
Cycle 5: imm_x=0x0000215C22EE imm_y=0xFFFFF795F876 imm_z=0xFFFFFE681897 p_ca=0x000000028F5C p_si=0x000000FAAF17 p_bi=0x00000002C18D
Cycle 6: imm_x=0x0000295CA912 imm_y=0xFFFFF52F77C8 imm_z=0xFFFFFE96BDD8 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 7: imm_x=0x0000301792D1 imm_y=0xFFFFF2A6A701 imm_z=0xFFFFFEAFE519 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 8: imm_x=0x000036078DA9 imm_y=0xFFFFEF674E6E imm_z=0xFFFFFE6B0851 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 9: imm_x=0x00003CDC9CF5 imm_y=0xFFFFECA9C872 imm_z=0xFFFFFE91DD5E p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 10: imm_x=0x00004300198F imm_y=0xFFFFE926D832 imm_z=0xFFFFFDD7F479 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 11: imm_x=0x000049546472 imm_y=0xFFFFE5DE04BF imm_z=0xFFFFFD8670FA p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 12: imm_x=0x00005032D61B imm_y=0xFFFFE377789E imm_z=0xFFFFFD11E586 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 13: imm_x=0x000055AB7B0A imm_y=0xFFFFDFB5CD97 imm_z=0xFFFFFC55B7D5 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 14: imm_x=0x00005BA234F0 imm_y=0xFFFFDC9148B2 imm_z=0xFFFFFC410062 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 15: imm_x=0x000060915BF0 imm_y=0xFFFFD8F15E73 imm_z=0xFFFFFC2C406F p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 16: imm_x=0x000063F3CBB9 imm_y=0xFFFFD61A7F7C imm_z=0xFFFFFCA90F95 p_ca=0x000000028F5C p_si=0x000000D4D0A5 p_bi=0x000000289FFF
Cycle 17: imm_x=0x000067B42A46 imm_y=0xFFFFD4956816 imm_z=0xFFFFFC9F4128 p_ca=0x000000115CBB p_si=0x000000EC13E9 p_bi=0x000000028F5C
Cycle 18: imm_x=0x00006A0C86E3 imm_y=0xFFFFD14DD6F2 imm_z=0xFFFFFC27FB23 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
